Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Genotype,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Size category,Tunnel_len,Entr_len,Entr_Height,ID.1,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight,Unnamed: 28,Unnamed: 29,Area,NET ID,No. flowers,Unnamed: 33,NO.,Group,Unnamed: 36,Unnamed: 37,ID.2,Size,No. flowers.1,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,ID.3,Unnamed: 47,Size.1,No. flowers.2,Location,Unnamed: 51,Unnamed: 52,Unnamed: 53,ID.4,Unnamed: 55,Size.2,No. flowers.3,Location.1,Unnamed: 59,Yer-BASECAMP,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,ID.5,Unnamed: 70,Size.3,No. flowers.4,Location.2,Unnamed: 74,Unnamed: 75,Location.3,ID.6,Unnamed: 78,Size.4,No. flowers.5,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Area.1,NET ID.1,Tag,No. of flowers,Unnamed: 91,Area.2,NET ID.2,Tag.1,No. of flowers.1
440,280,I.petrana,YER,2023-03-28,241,1,YER_241.1,40.1,53.5,0.7495327102803738,2145.35,21.4535,S,20.8,11.4,7.5,241,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,16.1,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,47,I.petrana,YER,2023-03-16,61,1,YER_61.1,45.8,49.5,0.9252525252525252,2267.1,22.671000000000003,S,22.3,11.3,9.2,61,1.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,158.9,19.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,203,I.petrana,YER,2023-03-22,72,1,YER_72.1,47.3,55.4,0.8537906137184115,2620.4199999999996,26.204199999999997,S,24.2,11.4,8.9,72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,Left middle - far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,129,I.petrana,YER,2023-03-16,131,1,YER_131.1,51.8,50.6,1.0237154150197627,2621.08,26.210800000000003,S,25.2,12.0,7.9,131,1.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,179,I.petrana,YER,2023-03-19,223,1,YER_223.1,48.0,56.0,0.8571428571428571,2688.0,26.88,S,27.8,12.5,7.3,223,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,128,I.petrana,YER,2023-03-16,31,1,YER_31.1,56.5,47.7,1.1844863731656183,2695.05,26.950500000000005,S,24.5,13.0,9.2,31,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,194,I.petrana,YER,2023-03-22,83,2,YER_83.2,30.9,41.1,0.7518248175182481,1269.99,12.6999,S,17.0,7.7,6,83,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,198,I.petrana,YER,2023-03-22,60,4,YER_60.4,39.2,40.5,0.9679012345679013,1587.6000000000001,15.876000000000001,S,22.9,10.7,8.9,60,,,,,,,1.0,4.0,169.1,42.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,232,I.petrana,YER,2023-03-22,234,8,YER_234.8,41.0,41.1,0.9975669099756691,1685.1000000000001,16.851,S,23.6,12.0,9.5,234,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,72,I.petrana,YER,2023-03-16,123,2,YER_123.2,34.2,49.4,0.6923076923076924,1689.48,16.8948,S,14.9,11.4,9.9,123,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201N,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,62,I.petrana,YER,2023-03-16,99,3,YER_99.3,45.8,40.8,1.1225490196078431,1868.6399999999996,18.6864,S,21.4,10.0,8.3,99,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,Hill - Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,146,I.petrana,YER,2023-03-19,157,3,YER_157.3,38.2,49.4,0.7732793522267207,1887.0800000000002,18.8708,S,22.8,15.2,7.9,157,,,,,,,1.0,14.0,326.4,23.314285714285713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hill - Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,65,I.petrana,YER,2023-03-16,234,2,YER_234.2,41.9,45.9,0.9128540305010894,1923.2099999999998,19.232099999999996,S,22.2,12.7,11.8,234,,,,,,,1.0,16.0,256.8,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hill - Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,241,I.petrana,YER,2023-03-22,119,4,YER_119.4,42.4,46.4,0.9137931034482759,1967.36,19.6736,S,20.5,10.0,6.5,119,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Hill - Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,68,I.petrana,YER,2023-03-16,234,5,YER_234.5,42.2,47.1,0.8959660297239915,1987.6200000000001,19.876200000000004,S,22.8,12.6,11.5,234,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,Hill - Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
