Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
108,34,I.atropurpurea,KUR,2023-03-01,189,5,57.5,47.5,1.2105263157894737,2731.25,27.3125,,,,101715,,,,,,,,0.0,0.0,0.0,0.0
109,17,I.atropurpurea,KUR,2023-02-23,190,1,67.5,55.3,1.220614828209765,3732.75,37.32749999999999,27.2,9.8,7.7,110651,,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
110,18,I.atropurpurea,KUR,2023-02-23,190,2,62.0,50.6,1.225296442687747,3137.2000000000003,31.372000000000003,,,,110705,,,,,,,,1.0,34.0,866.7,25.491176470588236
111,56,I.atropurpurea,KUR,2023-03-01,190,3,62.6,55.3,1.1320072332730562,3461.7799999999997,34.617799999999995,27.2,9.3,7.6,132541,,,,,,,,0.0,0.0,0.0,0.0
112,20,I.atropurpurea,KUR,2023-02-23,191,1,55.9,59.3,0.9426644182124789,3314.87,33.1487,25.6,10.2,6.9,115102,,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
113,21,I.atropurpurea,KUR,2023-02-23,191,2,56.8,62.3,0.9117174959871589,3538.64,35.386399999999995,26.4,8.8,7,115117,,,,,,,,0.0,0.0,0.0,0.0
114,22,I.atropurpurea,KUR,2023-02-23,191,3,69.1,56.7,1.2186948853615518,3917.97,39.1797,29.9,9.3,8.9,115149,,,,,,,,0.0,0.0,0.0,0.0
115,23,I.atropurpurea,KUR,2023-02-23,191,4,60.9,58.2,1.0463917525773194,3544.38,35.4438,,,,115214,,,,,,,,0.0,0.0,0.0,0.0
116,24,I.atropurpurea,KUR,2023-02-23,191,5,60.5,54.6,1.1080586080586081,3303.3,33.033,,,,115243,,,,,,,,1.0,11.0,318.2,28.927272727272726
117,26,I.atropurpurea,KUR,2023-02-23,192,1,78.9,63.2,1.2484177215189873,4986.4800000000005,49.8648,28.7,12.1,9.6,125129,,3.0,2.0,1.0,2.0,0.0,2.0,1.0,37.0,1446.6,39.097297297297295
